Team,is_home,score_for,score_against,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,match_url,season
Melbourne,1,97,71,650.0,284.0,426.0,1076.0,39.0,31.0,108.0,145.0,123.0,163.0,100.0,203.0,64.0,77.0,10.0,418.0,651.0,38.0,40.0,151.0,20.0,24.0,1799.0,https://afltables.com/afl/stats/games/2022/071120220316.html,2022
Western Bulldogs,0,71,97,661.0,280.0,441.0,1102.0,36.0,23.0,84.0,152.0,126.0,158.0,110.0,190.0,77.0,64.0,8.0,398.0,690.0,28.0,29.0,140.0,16.0,24.0,1800.0,https://afltables.com/afl/stats/games/2022/071120220316.html,2022
Carlton,1,101,76,595.0,249.0,440.0,1035.0,39.0,44.0,81.0,116.0,108.0,168.0,102.0,191.0,76.0,68.0,12.0,384.0,638.0,16.0,32.0,136.0,47.0,25.0,1799.0,https://afltables.com/afl/stats/games/2022/031420220317.html,2022
Richmond,0,76,101,569.0,246.0,409.0,978.0,36.0,37.0,84.0,106.0,129.0,144.0,84.0,214.0,68.0,76.0,6.0,363.0,601.0,20.0,31.0,140.0,43.0,23.0,1799.0,https://afltables.com/afl/stats/games/2022/031420220317.html,2022
St Kilda,1,85,102,672.0,283.0,452.0,1124.0,39.0,38.0,95.0,162.0,108.0,148.0,110.0,190.0,61.0,68.0,7.0,435.0,679.0,33.0,30.0,150.0,7.0,22.0,1804.0,https://afltables.com/afl/stats/games/2022/041520220318.html,2022
Collingwood,0,102,85,663.0,272.0,481.0,1144.0,42.0,37.0,109.0,171.0,105.0,155.0,112.0,194.0,68.0,61.0,11.0,438.0,695.0,30.0,33.0,147.0,11.0,29.0,1799.0,https://afltables.com/afl/stats/games/2022/041520220318.html,2022
Geelong,1,138,72,658.0,271.0,528.0,1186.0,51.0,42.0,111.0,114.0,115.0,174.0,129.0,170.0,58.0,59.0,10.0,411.0,758.0,38.0,40.0,141.0,35.0,41.0,1798.0,https://afltables.com/afl/stats/games/2022/050920220319.html,2022
Essendon,0,72,138,662.0,314.0,543.0,1205.0,42.0,30.0,123.0,117.0,122.0,159.0,105.0,157.0,59.0,58.0,8.0,369.0,814.0,31.0,41.0,141.0,31.0,34.0,1800.0,https://afltables.com/afl/stats/games/2022/050920220319.html,2022
Greater Western Sydney,1,92,112,626.0,252.0,374.0,1000.0,43.0,38.0,110.0,186.0,98.0,145.0,118.0,152.0,55.0,50.0,7.0,416.0,549.0,39.0,37.0,137.0,12.0,17.0,1802.0,https://afltables.com/afl/stats/games/2022/162120220319.html,2022
Sydney,0,112,92,622.0,240.0,346.0,968.0,47.0,34.0,115.0,186.0,100.0,146.0,122.0,151.0,50.0,55.0,11.0,403.0,525.0,36.0,32.0,139.0,15.0,22.0,1796.0,https://afltables.com/afl/stats/games/2022/162120220319.html,2022
Brisbane Lions,1,80,69,628.0,262.0,387.0,1015.0,32.0,37.0,130.0,168.0,128.0,159.0,121.0,207.0,77.0,76.0,8.0,422.0,594.0,32.0,30.0,158.0,21.0,24.0,1798.0,https://afltables.com/afl/stats/games/2022/131920220319.html,2022
Port Adelaide,0,69,80,638.0,254.0,405.0,1043.0,31.0,32.0,104.0,165.0,124.0,162.0,122.0,198.0,76.0,77.0,10.0,421.0,606.0,28.0,24.0,181.0,18.0,21.0,1801.0,https://afltables.com/afl/stats/games/2022/131920220319.html,2022
Hawthorn,1,78,58,643.0,293.0,432.0,1075.0,30.0,34.0,102.0,174.0,125.0,151.0,88.0,192.0,75.0,75.0,10.0,394.0,660.0,47.0,36.0,130.0,18.0,20.0,1799.0,https://afltables.com/afl/stats/games/2022/101220220320.html,2022
North Melbourne,0,58,78,647.0,298.0,402.0,1049.0,27.0,32.0,99.0,162.0,118.0,155.0,95.0,189.0,75.0,75.0,8.0,392.0,627.0,43.0,30.0,134.0,18.0,16.0,1800.0,https://afltables.com/afl/stats/games/2022/101220220320.html,2022
Adelaide,1,82,83,605.0,257.0,426.0,1031.0,35.0,37.0,99.0,160.0,122.0,151.0,108.0,171.0,80.0,62.0,10.0,415.0,625.0,23.0,34.0,147.0,7.0,22.0,1803.0,https://afltables.com/afl/stats/games/2022/010820220320.html,2022
Fremantle,0,83,82,565.0,238.0,420.0,985.0,34.0,44.0,111.0,167.0,115.0,158.0,111.0,177.0,64.0,79.0,8.0,401.0,593.0,22.0,32.0,159.0,11.0,23.0,1803.0,https://afltables.com/afl/stats/games/2022/010820220320.html,2022
West Coast,1,80,107,644.0,247.0,389.0,1033.0,40.0,27.0,113.0,135.0,114.0,143.0,109.0,197.0,64.0,68.0,6.0,400.0,612.0,20.0,34.0,162.0,10.0,28.0,1801.0,https://afltables.com/afl/stats/games/2022/182020220320.html,2022
Gold Coast,0,107,80,640.0,221.0,409.0,1049.0,44.0,30.0,109.0,156.0,102.0,160.0,113.0,196.0,68.0,64.0,12.0,434.0,591.0,22.0,41.0,138.0,8.0,32.0,1800.0,https://afltables.com/afl/stats/games/2022/182020220320.html,2022
Western Bulldogs,1,90,102,649.0,282.0,516.0,1165.0,42.0,30.0,93.0,137.0,103.0,151.0,103.0,168.0,57.0,57.0,6.0,407.0,737.0,34.0,39.0,151.0,31.0,31.0,1799.0,https://afltables.com/afl/stats/games/2022/030720220324.html,2022
Carlton,0,102,90,692.0,297.0,540.0,1232.0,45.0,24.0,111.0,127.0,107.0,149.0,110.0,180.0,57.0,57.0,12.0,445.0,766.0,38.0,33.0,149.0,38.0,32.0,1802.0,https://afltables.com/afl/stats/games/2022/030720220324.html,2022
Sydney,1,107,77,696.0,308.0,382.0,1078.0,44.0,27.0,87.0,135.0,138.0,159.0,99.0,192.0,71.0,70.0,12.0,357.0,672.0,9.0,39.0,136.0,13.0,29.0,1799.0,https://afltables.com/afl/stats/games/2022/091620220325.html,2022
