round,date,venue,home_team,away_team,Season
1,05/03/2026 08:30,SCG,Sydney Swans,Carlton,2026
1,06/03/2026 09:05,People First Stadium,Gold Coast SUNS,Geelong Cats,2026
1,07/03/2026 05:15,ENGIE Stadium,GWS GIANTS,Hawthorn,2026
1,07/03/2026 08:35,Gabba,Brisbane Lions,Western Bulldogs,2026
1,08/03/2026 08:20,MCG,St Kilda,Collingwood,2026
2,12/03/2026 08:30,MCG,Carlton,Richmond,2026
2,13/03/2026 08:40,MCG,Essendon,Hawthorn,2026
2,14/03/2026 02:15,Marvel Stadium,Western Bulldogs,GWS GIANTS,2026
2,14/03/2026 05:15,GMHBA Stadium,Geelong Cats,Fremantle,2026
2,14/03/2026 08:10,SCG,Sydney Swans,Brisbane Lions,2026
2,14/03/2026 08:35,MCG,Collingwood,Adelaide Crows,2026
2,15/03/2026 02:10,Marvel Stadium,North Melbourne,Port Adelaide,2026
2,15/03/2026 04:15,MCG,Melbourne,St Kilda,2026
2,15/03/2026 07:10,People First Stadium,Gold Coast SUNS,West Coast Eagles,2026
3,19/03/2026 08:30,MCG,Hawthorn,Sydney Swans,2026
3,20/03/2026 08:40,Adelaide Oval,Adelaide Crows,Western Bulldogs,2026
3,21/03/2026 02:15,MCG,Richmond,Gold Coast SUNS,2026
3,21/03/2026 05:15,ENGIE Stadium,GWS GIANTS,St Kilda,2026
3,21/03/2026 08:35,Optus Stadium,Fremantle,Melbourne,2026
3,22/03/2026 04:15,Adelaide Oval,Port Adelaide,Essendon,2026
3,22/03/2026 07:10,Optus Stadium,West Coast Eagles,North Melbourne,2026
4,26/03/2026 08:30,GMHBA Stadium,Geelong Cats,Adelaide Crows,2026
4,27/03/2026 08:40,Marvel Stadium,Collingwood,GWS GIANTS,2026
4,28/03/2026 01:35,Marvel Stadium,St Kilda,Brisbane Lions,2026
4,28/03/2026 05:15,Optus Stadium,Fremantle,Richmond,2026
4,28/03/2026 08:35,Marvel Stadium,Essendon,North Melbourne,2026
4,29/03/2026 01:30,Adelaide Oval,Port Adelaide,West Coast Eagles,2026
4,29/03/2026 04:15,MCG,Carlton,Melbourne,2026
5,02/04/2026 08:30,Gabba,Brisbane Lions,Collingwood,2026
5,03/04/2026 04:15,Marvel Stadium,North Melbourne,Carlton,2026
5,03/04/2026 08:15,Adelaide Oval,Adelaide Crows,Fremantle,2026
5,04/04/2026 05:15,MCG,Richmond,Port Adelaide,2026
5,04/04/2026 08:35,Optus Stadium,West Coast Eagles,Sydney Swans,2026
5,05/04/2026 05:15,MCG,Melbourne,Gold Coast SUNS,2026
5,05/04/2026 09:20,Marvel Stadium,Western Bulldogs,Essendon,2026
5,06/04/2026 05:15,MCG,Hawthorn,Geelong Cats,2026
6,09/04/2026 09:40,Adelaide Oval,Adelaide Crows,Carlton,2026
6,10/04/2026 09:40,Adelaide Oval,Collingwood,Fremantle,2026
6,11/04/2026 02:35,Barossa Park,North Melbourne,Brisbane Lions,2026
6,11/04/2026 03:15,Adelaide Oval,Essendon,Melbourne,2026
6,11/04/2026 06:15,Norwood Oval,Sydney Swans,Gold Coast SUNS,2026
